CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
249,Land Information Ontario - Zone 16 & 18,"This digital data release, produced as part of the Lake Nipigon Region Geoscience Initiative (LNRGI), contains location information, rock descriptions, detailed petrographic descriptions, photomicrographs and qualitative modal analyses for 250 thin sections collected within the 2003 LNRGI bedrock mapping project area (OFR6136 and MRD132). Location information is given in the Universal Transverse Mercator (UTM) projection and grid system, Zone 16, North American Datum 1983, and is listed in Table 7. Samples are mainly from Nipigon diabase sills, Archean basement rocks, and the English Bay Complex.[248] Zone 16 & 17N[249] Zone 16 & 18[250] Zone 17S",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Northern Development and Mines,,2004,ONTARIO,DATA SOURCES; DIGITAL ELEVATION MODEL; GEOLOGY; MAPS; MINERAL RESOURCES; MINERALS,,,,,,Data,,,,,,,Citation,None,,2004
250,Land Information Ontario - Zone 17S,"This digital data release, produced as part of the Lake Nipigon Region Geoscience Initiative (LNRGI), contains location information, rock descriptions, detailed petrographic descriptions, photomicrographs and qualitative modal analyses for 250 thin sections collected within the 2003 LNRGI bedrock mapping project area (OFR6136 and MRD132). Location information is given in the Universal Transverse Mercator (UTM) projection and grid system, Zone 16, North American Datum 1983, and is listed in Table 7. Samples are mainly from Nipigon diabase sills, Archean basement rocks, and the English Bay Complex.[248] Zone 16 & 17N[249] Zone 16 & 18[250] Zone 17S",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Northern Development and Mines,,2004,ONTARIO,A,,,,,,Data,,,,,,,Citation,None,,2004
251,Bedrock Geology of Ontario,,,,,Ontario Geological Survey,,,,,,,,,,,,,,,,,,,,
252,City of London Mapping Data Distribution - 2006,"Mapping data is divided into 5 directories:
1. ASSESSP 2006: assessed Parcel/Property mapping Arcview
2. CityMap 2006: double line street map, autocad
3. Ortho 2006: Orthoimagery SID world file
4. Single line 2006: street map Arcview SHP format
5. Topo 2006: 1:2000 topographic mapping in themed categories. Arcview SHP format",,,"Restricted to U of T faculty, staff, and students.",City of London (Ontario),,2006,LONDON (ONTARIO),AIR PHOTOS - COLOUR - ORTHORECTIFIED; AUTOCAD; BOUNDARIES; BUILDING OUTLINES; CONTOURS; ELEVATION; LAND USE; PARKS; PROPERTY BOUNDARIES; RELIEF; ROADS; STREETS; TOPOGRAPHY,,,,City of London,,Raster; Vector,,,,,,,Citation,None,,2006
253,Tectonic Assemblages of Ontario Seamless Coverage,"The Tectonic Geology Data Set is a digital interpretation of the Tectonic Geology of the Province of Ontario, It illustrates this by 1) grouping volcanic and sedimentary rock units into tectonic assemblages in Precambrain terrains and depositional sequences in the overlying Paleozoic and Mesozoic sedimentary basins; and 2) interpreting the ranges of emplacement ages of all major intrusions and grouping some plutons into suites. Among a range of tectonically significant features, the map also displays major folds, faults, stratigraphic younging directions, interpreted centres of volcanism and locations of U/Pb age determinations, which are numbered and cross-referenced to a table of ages. This map represents the first attempt internationally to subdivide Archean rock units into Tectonic assemblages, and the first attempt in Ontario to subdivide Paleozic and Mesozoic rock units into depositional sequences. The purpose of this map is to portray the distribution of magmatism and sedimentation in time and space in the rock record of Ontario. The intended user is a geologist with an academic or applied mineral exploration interest in the components of the bedrock of Ontario that forms the basis of its geochronometric and tectonic record.",,,Publicly accessible,Ontario Geological Survey,,1993,ONTARIO,GEOLOGY; MAGNETISM; PALEOZOIC GEOLOGY; PRECAMBRIAN GEOLOGY; SEDIMENT; TECTONICS,1993,,Ontario Geological Survey,Ontario Geological Survey (OGS),,Vector,NAD27,"Data Set 11, 1993.",http://www.geologyontario.mndm.gov.on.ca/,Sudbury,Lambert Conformal Conic,Ontario Geological Survey (OGS),Citation,None,,1993
254,Township and Unorganized Area Fabric for Ontario,"Geographic Township is a polygon feature that indicates the fundamental land subdivision fabric of the Province. Each Geographic Township area may or may not be the same as the jurisdictional area of the township.The location of township lines on the Ontario Base Maps (OBM) were determined by using a combination of both survey information, i.e., retracements, original township plans, surveys notes, etc.; and OBM physical features such as roads, trails, fence lines, and water bodies. In some areas where there were almost no OBM physical features available, aerial photographs may have been used to help determine boundaries. Unorganized areas are derived from Ontario Ministry of Natural Resources Base Map Areas.Data are available in ArcView 3.x format.",,,"Restricted to U of T faculty, staff, and students.",Ontario Geological Survey,,1993,ONTARIO,BOUNDARIES; GEOGRAPHIC TOWNSHIPS; GEOGRAPHICAL NAMES; ROADS; TRAILS; WATER,1993,,Ontario Geological Survey,,,Raster; Vector,,"Data Set 12, 1993",https://www.javacoeapp.lrc.gov.on.ca/geonetwork/srv/en/main.home?uuid=533e8c33-499b-4de2-b584-72ff6672896e,,,,Citation,None,,1993
255,"Topographic Base, Seamless Coverage of the Province of Ontario - 1993","Layers Include:

2       2-LANE          2-LANE HIGHWAY
3       4-LANE          4-LANE HIGHWAY
4       RAILWAYS        RAILWAYS
5       T-RAILWAY       TEXT-RAILWAY
7       SHIELDS HIGHWAY SHIELDS
8       INTER-PROV-B    PROVINCIAL/INTERNATIONAL BOUND.
9       DIST-CO-RM-B    DISTRICT/COUNTY/REGIONAL MUNICIPALITY BOUND.
10      TOWNSHIP        TOWNSHIP BOUND.
11      T-PROV-INTER    TEXT PROV-INTERNATIONAL BOUND.
12      T-DIST-CO-RM    TEXT DISTRICT/COUNTY/RM BOUND.
13      T-TOWNSHIP      TEXT TOWNSHIP
14      T-CITY          TEXT CITY
15      T-TOWN          TEXT TOWN
16      CY-TN           CITY TOWN DOTS
17      DRAINAGE        DRAINAGE STREAMS, RIVERS
18      LAKES           LAKES
19      T-DRAINAGE      TEXT DRAINAGE
20      T-LAKES         TEXT LAKES
21      T-ISL-PENIN     TEXT ISLANDS PENINSULAS
22      T-FALLS TEXT    WATER FALLS
23      T-WATER-LEV     TEXT WATER ELEVATION
24      ELEVN           ELEVATION POINTS
25      T-ELEVATION     TEXT ELEVATION
26      LAT-LONG        LATITUDE LONGITUDE LINEWORK AND TEXT
27      MERID-BASE-L    MERIDIAN AND BASE LINES
28      T-MERID-BASE    TEXT MERIDIAN AND BASE LINES",,,Publicly accessible,Ontario Geological Survey,,1993,ONTARIO,DRAINAGE; ELEVATION; RAILROADS; ROADS; TOPOGRAPHY; TOWNSHIPS; WATER,,,,OGS,,Vector,,Data Set 22,,Sudbury,,Ontario Geological Survey,Citation,None,,1993
256,Urban Infrastructure and Urban Growth in the Toronto Region 1950s to the 1990s,"Digital version of HT 169 C32T69 2003. Contains maps of infrastructure, including sewers.



Both the full report and the accompanying maps and figures (including scanned maps) can be downloaded for free from the Neptis website: https://www.neptis.org/publications/urban-infrastructure-and-urban-grow…",Call number: HT169 .C32T69 2003,,Publicly accessible,Richard White,,2003 Sep,TORONTO,INFRASTRUCTURE; URBAN AREAS (UA); UTILITIES,2003,,Richard White,Neptis Foundation,,Raster; Vector,,,,Toronto,,Neptis Foundation,Citation,None,,2003 Sep
257,Hamilton GIS Data,"Sewers; Cemeteries; Business Improvement Areas; sidewalks; escarpment; DTM 10 metres; DTM 20 metres; water hydrants; police stations; libraries; colleges; universities; beaches; arenas; Please request this data from Map & Data Library staff, 5th floor Robarts Library or by email at mdl@library.utoronto.ca",,,"Restricted to U of T faculty, staff, and students.",City of Hamilton,,2006,HAMILTON,BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; CONSERVATION AUTHORITY; CONTOURS; EDUCATION; GOLF COURSES; HEALTH; HOSPITALS; HYDROGRAPHY; PARKS; POLICE; POLITICAL; ROADS; TOPOGRAPHY; URBAN AREAS (UA); UTILITIES; WATER,2006,,City of Hamilton,City of Hamilton,,Vector,NAD83,,,Hamilton,UTM Zone 17,City of Hamilton,Citation,None,,2006
258,Hamilton Ortho Imagery - Central,,Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",City of Hamilton,,2005,HAMILTON,AIR PHOTOS,,,,City of Hamilton,,Raster,,2005,,Hamilton,,City of Hamilton,Citation,None,,2005
259,"Hamilton Ortho Imagery - North, South",,Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",City of Hamilton,,2005,HAMILTON,AIR PHOTOS,,,,City of Hamilton,,Raster,,2005,,Hamilton,,City of Hamilton,Citation,None,,2005
260,Toronto Fire Insurance Plans 1959-73,,,,"Restricted to U of T faculty, staff, and students.",,,,,,,,,,,,,,,,,,,,,
261,Township and Unorganized Area Fabric for Ontario - 2004,"Geographic Township is a polygon feature that indicates the fundamental land subdivision fabric of the Province. Each Geographic Township area may or may not be the same as the jurisdictional area of the township.The location of township lines on the Ontario Base Maps (OBM) were determined by using a combination of both survey information, i.e., retracements, original township plans, surveys notes, etc.; and OBM physical features such as roads, trails, fence lines, and water bodies. In some areas where there were almost no OBM physical features available, aerial photographs may have been used to help determine boundaries. Unorganized areas are derived from Ontario Ministry of Natural Resources Base Map Areas.Data are available in ArcView 3.x format.",,,Publicly accessible,Ontario Geological Survey,,2004,ONTARIO,BOUNDARIES; TOWNSHIPS,,,,Ontario Geological Survey,,Vector,,Data Set 12,,"Sudbury, Ontario",,Ontario Geological Survey (OGS),Citation,None,,2004
262,Bedrock Geology of Ontario Seamless Coverage,,,,,Ontario Geological Survey,,,,,,,,,,,,,,,,,,,,
263,"Topographic Base, Seamless Coverage of the Province of Ontario - 1993","Layers Include:

2       2-LANE          2-LANE HIGHWAY
3       4-LANE          4-LANE HIGHWAY
4       RAILWAYS        RAILWAYS
5       T-RAILWAY       TEXT-RAILWAY
7       SHIELDS HIGHWAY SHIELDS
8       INTER-PROV-B    PROVINCIAL/INTERNATIONAL BOUND.
9       DIST-CO-RM-B    DISTRICT/COUNTY/REGIONAL MUNICIPALITY BOUND.
10      TOWNSHIP        TOWNSHIP BOUND.
11      T-PROV-INTER    TEXT PROV-INTERNATIONAL BOUND.
12      T-DIST-CO-RM    TEXT DISTRICT/COUNTY/RM BOUND.
13      T-TOWNSHIP      TEXT TOWNSHIP
14      T-CITY          TEXT CITY
15      T-TOWN          TEXT TOWN
16      CY-TN           CITY TOWN DOTS
17      DRAINAGE        DRAINAGE STREAMS, RIVERS
18      LAKES           LAKES
19      T-DRAINAGE      TEXT DRAINAGE
20      T-LAKES         TEXT LAKES
21      T-ISL-PENIN     TEXT ISLANDS PENINSULAS
22      T-FALLS TEXT    WATER FALLS
23      T-WATER-LEV     TEXT WATER ELEVATION
24      ELEVN           ELEVATION POINTS
25      T-ELEVATION     TEXT ELEVATION
26      LAT-LONG        LATITUDE LONGITUDE LINEWORK AND TEXT
27      MERID-BASE-L    MERIDIAN AND BASE LINES
28      T-MERID-BASE    TEXT MERIDIAN AND BASE LINES",,,Publicly accessible,Ontario Geological Survey,,1993,ONTARIO,DRAINAGE; ELEVATION; RAILROADS; ROADS; TOPOGRAPHY; TOWNSHIPS; WATER,,,,OGS,,Vector,,Data Set 22,,Sudbury,,Ontario Geological Survey,Citation,None,,1993
264,Tectonic Assemblages of Ontario Seamless Coverage,"The Tectonic Geology Data Set is a digital interpretation of the Tectonic Geology of the Province of Ontario, It illustrates this by 1) grouping volcanic and sedimentary rock units into tectonic assemblages in Precambrain terrains and depositional sequences in the overlying Paleozoic and Mesozoic sedimentary basins; and 2) interpreting the ranges of emplacement ages of all major intrusions and grouping some plutons into suites. Among a range of tectonically significant features, the map also displays major folds, faults, stratigraphic younging directions, interpreted centres of volcanism and locations of U/Pb age determinations, which are numbered and cross-referenced to a table of ages. This map represents the first attempt internationally to subdivide Archean rock units into Tectonic assemblages, and the first attempt in Ontario to subdivide Paleozic and Mesozoic rock units into depositional sequences. The purpose of this map is to portray the distribution of magmatism and sedimentation in time and space in the rock record of Ontario. The intended user is a geologist with an academic or applied mineral exploration interest in the components of the bedrock of Ontario that forms the basis of its geochronometric and tectonic record.",,,Publicly accessible,Ontario Geological Survey,,1993,ONTARIO,GEOLOGY; MAGNETISM; PALEOZOIC GEOLOGY; PRECAMBRIAN GEOLOGY; SEDIMENT; TECTONICS,1993,,Ontario Geological Survey,Ontario Geological Survey (OGS),,Vector,NAD27,"Data Set 11, 1993.",http://www.geologyontario.mndm.gov.on.ca/,Sudbury,Lambert Conformal Conic,Ontario Geological Survey (OGS),Citation,None,,1993
265,Land Information Ontario - Wooded Area 2006,"Abstract from Metadata web page:
""Wooded Area polygons represent the boundaries of woodlands (forests, woodlots, hedgerows, and plantations) in Southern Ontario. The woodland dataset is one of numerous products derived through the implementation of the SOLRIS project. The methodology used in SOLRIS Phase 1 involves updating the NRVIS wooded area (WOODAREA concrete class) data through the interpretation of remotely sensed data including orthophotography, Indian Remote Sensing (IRS) and colour infrared aerial photography. This dataset represents wooded areas within the MNR Southern Region classified into 'Treed', 'Hedgerow' and 'Plantation' classes.""
Source = Aerial Photography 1994-2006 Data
Currentness = 2003-2006",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Natural Resources (OMNR),,1976,ONTARIO; TORONTO,FORESTRY; LAND USE; VEGETATION,,,,Ontario Ministry of Natural Resources,,Vector,,2003-2006,,,,Ontario Ministry of Natural Resources,Citation,None,,2003 to 2006
266,Teranet - Ontario Parcel Data,"To request access, if you are a current U of T student, staff, or faculty, please contact us.

Contains:
1) Basic property report correlating the ownership PIN to the assessment roll number.2)Digital property ownership parcel polygons, attributed with the 9-digit PIN, comprising the area of the regions in shapefile format.York data are from september 2007.",,https://utoronto.sharepoint.com/sites/UTL-MDL-LicensedDataAndSoftware/Teranet,"Restricted to U of T faculty, staff, and students.",Teranet,,2007,DURHAM COUNTY; FRONTENAC COUNTY; HALTON COUNTY; HASTINGS COUNTY; LENNOX ADDINGTON COUNTY; NORTHUMBERLAND COUNTY; ONTARIO; PEEL COUNTY; SIMCOE COUNTY; TORONTO; VICTORIA COUNTY; YORK COUNTY,LAND USE; PARCELS; PROPERTY BOUNDARIES,2007,,Teranet,Teranet,,Vector,NAD83,2007,,Toronto,UTM,Teranet,Citation,None,,2007
267,Programming ArcObjects with VBA A Task Oriented Approach,,,,,Kang-Tsung Chang,,,,,,,,,,,,,,,,,,,,
268,Historical Atlas of Islam,"Originally edited by William Brice and first published by Brill in 1981, this second edition has been completely revised and substantially augmented. New maps include 'environments and mineral resources', 'Iran under the Mongols' and 'the Caucasus in the Early Middle Ages'. The Atlas also includes a CD-Rom containing all the maps of the printed version but allowing sophisticated searching and a four level zooming function. Large format, 86p, maps in full colour (Brill 2002)",,,"Restricted to U of T faculty, staff, and students.","Kennedy, Hugh",,1981,IRAN; IRAQ; MIDDLE EAST,ETHNOLOGY; GEOGRAPHY; GEOLOGY; HISTORICAL; MAPS; MINERALS; PALEOZOIC,,,,,,Vector,,2nd,,,,,Citation,None,,
269,Getting to Know ARCObjects Programming ArcGIS with VBA,"Getting to Know ArcObjects supports the self-learner and makes a practical lab manual for instructors in the classroom. Those who are new to programming, or just new to ArcObjects, will find this book to be the perfect starting place for getting the most out of ArcGIS and the objects on which it is built.CD-ROM includes: The complete set of ArcObjects object model diagrams, spatial data used in the exercises, all code written in the exercises (which readers can adapt for their own projects), and results. Required software:ArcGIS Desktop 9.1 or 9.2 is required to complete the exercises in this workbook. You can use the ArcView©, ArcEditor√©, or ArcInfo© license level.",,,"Restricted to U of T faculty, staff, and students.","Burke, Robert",,2003,,GEOGRAPHIC INFORMATION SYSTEMS; SPATIAL ANALYSIS,,,,ESRI Press,,Raster; Vector,,2003,,,,,Citation,None,,
270,Digital Terrain Models of Southern Ontario - Toronto Supplement,derived from 2002 J.D. Barnes First Base Solutions DTM 2002 - Supplement to CD-Rom [192],,,"Restricted to U of T faculty, staff, and students.",J.D. Barnes,,2002,ONTARIO,DIGITAL TERRAIN MODEL,2002,,J.D. Barnes,,,Raster,10m/resolution,,,"Peterborough, Ontario",,J.D. Barnes,Citation,None,,2002
271,Toronto Property Data Maps (PDMs) - PDFs 2007,"Data includes: Building lines, hydro towers, curbs, curblines, curb points, catch basins, electrical pols, garage lines, garage polygons, general poles, historical sites, fire hydrants, light standards, miscellaneous structures, parks, pathways, pedestrian street lights, railways, spot elevation, street car tracks, street lines, street names, subway tracks, telephone poles, traffic lights, and transmission lines. CAD files are for 2006, PDF files are for 2007",,,"Restricted to U of T faculty, staff, and students.","Works and Emergency Services, City of Toronto",,2006,TORONTO,BOUNDARIES; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; HIGHWAYS; MAPS; METADATA; MUNICIPALITIES; POLICE; PROPERTY BOUNDARIES; RAIL TRANSIT; RAILROADS; ROADS; STREETS; TRAILS; TRAIN; TRANSIT,,,,City of Toronto,,Vector,,2006-07,,Toronto,,City of Toronto,Citation,None,,2006 to 2007
272,Toronto Property Data Maps (PDMs) - DWG 2006,"Data includes: Building lines, hydro towers, curbs, curblines, curb points, catch basins, electrical pols, garage lines, garage polygons, general poles, historical sites, fire hydrants, light standards, miscellaneous structures, parks, pathways, pedestrian street lights, railways, spot elevation, street car tracks, street lines, street names, subway tracks, telephone poles, traffic lights, and transmission lines. CAD files are for 2006, PDF files are for 2007",,,"Restricted to U of T faculty, staff, and students.","Works and Emergency Services, City of Toronto",,2006,TORONTO,BOUNDARIES; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; HIGHWAYS; MAPS; METADATA; MUNICIPALITIES; POLICE; PROPERTY BOUNDARIES; RAIL TRANSIT; RAILROADS; ROADS; STREETS; TRAILS; TRAIN; TRANSIT,,,,City of Toronto,,Vector,,2006-07,,Toronto,,City of Toronto,Citation,None,,2006 to 2007
273,Geological Survey of Queensland - No. 8,"CD-ROM 273-No. 8 Georgetown CD-ROM 274-No. 9 Charters Towers CD-ROM 275-No 10,11 Yarrow Project & Tasman Fold Belt System in Victoria CD-ROM 276-No 12 GSV Map Catalogue and Reports 119-122",,,"Restricted to U of T faculty, staff, and students.","Natural Resources and Mines, Queensland",,2000,AUSTRALIA,GEOGRAPHIC INFORMATION SYSTEMS; GEOLOGY; MAPS; MINERAL RESOURCES; PALEOZOIC GEOLOGY,,,,Queensland Government,,Vector,,2000,,Queensland,,,Citation,None,,2000
274,Geological Survey of Queensland - No. 9,"CD-ROM 273-No. 8 Georgetown CD-ROM 274-No. 9 Charters Towers CD-ROM 275-No 10,11 Yarrow Project & Tasman Fold Belt System in Victoria CD-ROM 276-No 12 GSV Map Catalogue and Reports 119-122

",,,"Restricted to U of T faculty, staff, and students.","Natural Resources and Mines, Queensland",,2000,AUSTRALIA,GEOGRAPHIC INFORMATION SYSTEMS; GEOLOGY; MAPS; MINERAL RESOURCES; PALEOZOIC GEOLOGY,,,,Queensland Government,,Vector,,2000,,Queensland,,,Citation,None,,2000
275,"Geological Survey of Queensland - No. 10,11","CD-ROM 273-No. 8 Georgetown CD-ROM 274-No. 9 Charters Towers CD-ROM 275-No 10,11 Yarrow Project & Tasman Fold Belt System in Victoria CD-ROM 276-No 12 GSV Map Catalogue and Reports 119-122",,,"Restricted to U of T faculty, staff, and students.","Natural Resources and Mines, Queensland",,2000,AUSTRALIA,GEOGRAPHIC INFORMATION SYSTEMS; GEOLOGY; MAPS; MINERAL RESOURCES; PALEOZOIC GEOLOGY,,,,Queensland Government,,Vector,,2000,,Queensland,,,Citation,None,,2000
276,Geological Survey of Queensland - No. 12,"CD-ROM 273-No. 8 Georgetown CD-ROM 274-No. 9 Charters Towers CD-ROM 275-No 10,11 Yarrow Project & Tasman Fold Belt System in Victoria CD-ROM 276-No 12 GSV Map Catalogue and Reports 119-122",,,"Restricted to U of T faculty, staff, and students.","Natural Resources and Mines, Queensland",,2000,AUSTRALIA,GEOGRAPHIC INFORMATION SYSTEMS; GEOLOGY; MAPS; MINERAL RESOURCES; PALEOZOIC GEOLOGY,,,,Queensland Government,,Vector,,2000,,Queensland,,,Citation,None,,2000
277,Digital Electoral Districts and Polling Divisions,"LIMITED USE DATA PRODUCT LICENCE AGREEMENTThe Government of Canada is the owner of all intellectual property rights (including copyright) in this data product. You are granted a non-exclusive, non-assignable and non-transferable licence to use this data product subject to the terms below.This licence is not a cession of any or all of the owner's rights. This data product may only be used by you, and you may not sell, rent, lease, lend, sub-licence, transfer or cede in any way the data product or any of your rights under this agreement to anyone else. You may not use any part of the data product to develop or derive any other data product for distribution or commercial sale, without a licence to do so.This data product is provided as-is, and the owner makes no warranty, either express or implied, including but not limited to, warranties of merchantability and fitness for a particular purpose. In no event will the owner be liable for any indirect, special, consequential or other damages however caused. This agreement will terminate automatically without notice to you if you fail to comply with any term of this agreement.It is YOUR RESPONSIBILITY to ensure that your use of this data product complies with these terms and to seek prior written permission from Elections Canada for any uses not permitted or not specified in this agreement.ANY USE WHATSOEVER OF THIS DATA PRODUCT SHALL CONSTITUTE YOUR ACCEPTANCE OF THE TERMS OF THIS AGREEMENT. For further information please contact the Associate Director, Electoral Geography Division, Register and Geography Directorate, Elections Canada, Ottawa, K1A 0M6 (toll free 1 800 267-7360).",,,"Restricted to U of T faculty, staff, and students.",Elections Canada,,2005,CANADA (INCLUSIVE),BOUNDARIES; ELECTORAL,2005,,Elections Canada,Elections Canada (Crown),,Vector,NAD83,38687 - 2003 representation order,,Ottawa,Lambert Conformal,Elections Canada,Citation,None,,2003
278,Toronto Mono Viewer [TMV 2] - March 2007 Update,"Toronto Mono Viewer 2 allows you to view and obtain information from aerial photos of the entire City of Toronto. TMV2 is a custom viewer software that is linked to 1,500 aerial images, 435,000 municipal addresses and 64,000 x,y,z co-ordinate points covering the entire amalgamated City of Toronto. Simply search or browse for an area, zoom in and out and you have a clear, quality aerial photograph.* Gain instant access to georeferenced, high resolution aerial images of the entire City of Toronto* Access built in property mapping* Search to easily locate street intersections, addresses, or GPS co-ordinates* Pan across the entire city, jumping from image to image* Zoom into images at scales beyond 1:1,000* Measure lengths, perimeters, areas, elevations, and slope percentages* Overlay georeferenced CAD vector files* Create your own maps and label them* Paste views into reports using the Windows© clipboard* Export views as TIFF imagesSimply search by street intersection or address to instantly view the required aerial image. Then zoom in or out to scales beyond 1:1000 and pan through the image to obtain the exact required view on the screen.Reference the supplied mapping files or your own vector mapping in dgn and dxf format onto the aerial image. Instantly view property lines and street lines by referencing the built-in property mapping.TMV2 includes:* Over 1,500 aerial photos* Property and street line mapping* Street Centreline (including street names) mapping* Orthoimagery and Property Data Map Indexes, and* Ravine Mapping",See also CD # 203 and 279,,"Restricted to U of T faculty, staff, and students.",City of Toronto Works and Emergency Services,,2004,TORONTO,AIR PHOTOS; BOUNDARIES; BUILDING OUTLINES; DIGITAL ELEVATION MODEL; ELEVATION; PROPERTY BOUNDARIES; ROADS; STREETS,,,,City of Toronto and its licensors,,Raster; Vector,,,,Toronto,,City of Toronto Works & Emergency Services,Citation,None,,2004 to 2007
279,Toronto Mono Viewer [TMV 2] - March 2007 Update,"Toronto Mono Viewer 2 allows you to view and obtain information from aerial photos of the entire City of Toronto. TMV2 is a custom viewer software that is linked to 1,500 aerial images, 435,000 municipal addresses and 64,000 x,y,z co-ordinate points covering the entire amalgamated City of Toronto. Simply search or browse for an area, zoom in and out and you have a clear, quality aerial photograph.* Gain instant access to georeferenced, high resolution aerial images of the entire City of Toronto* Access built in property mapping* Search to easily locate street intersections, addresses, or GPS co-ordinates* Pan across the entire city, jumping from image to image* Zoom into images at scales beyond 1:1,000* Measure lengths, perimeters, areas, elevations, and slope percentages* Overlay georeferenced CAD vector files* Create your own maps and label them* Paste views into reports using the Windows© clipboard* Export views as TIFF imagesSimply search by street intersection or address to instantly view the required aerial image. Then zoom in or out to scales beyond 1:1000 and pan through the image to obtain the exact required view on the screen.Reference the supplied mapping files or your own vector mapping in dgn and dxf format onto the aerial image. Instantly view property lines and street lines by referencing the built-in property mapping.TMV2 includes:* Over 1,500 aerial photos* Property and street line mapping* Street Centreline (including street names) mapping* Orthoimagery and Property Data Map Indexes, and* Ravine Mapping",See also CD # 203 and 278,,"Restricted to U of T faculty, staff, and students.",City of Toronto Works and Emergency Services,,2004,TORONTO,AIR PHOTOS; BOUNDARIES; BUILDING OUTLINES; DIGITAL ELEVATION MODEL; ELEVATION; PROPERTY BOUNDARIES; ROADS; STREETS,,,,City of Toronto and its licensors,,Raster; Vector,,,,Toronto,,City of Toronto Works & Emergency Services,Citation,None,,2004 to 2007
280,Toronto Property Data Maps (PDMs) - UTM CAD + Shapefile,"Data includes: Building lines, hydro towers, curbs, curblines, curb points, catch basins, electrical pols, garage lines, garage polygons, general poles, historical sites, fire hydrants, light standards, miscellaneous structures, parks, pathways, pedestrian street lights, railways, spot elevation, street car tracks, street lines, street names, subway tracks, telephone poles, traffic lights, and transmission lines. CAD files are for 2006, PDF files are for 2007",,,"Restricted to U of T faculty, staff, and students.","Works and Emergency Services, City of Toronto",,2006,TORONTO,BOUNDARIES; BUILDING OUTLINES; BUILDINGS - FOOTPRINTS; HIGHWAYS; MAPS; METADATA; MUNICIPALITIES; POLICE; PROPERTY BOUNDARIES; RAIL TRANSIT; RAILROADS; ROADS; STREETS; TRAILS; TRAIN; TRANSIT,,,,City of Toronto,,Vector,,2006-07,,Toronto,,City of Toronto,Citation,None,,2006 to 2007
281,Virtual Reality in Geography,"The ideas and techniques of virtual reality are now being made available for the creation of artificial or virtual geographies (a virtual geography refers to the creation of artificial geographies for use in research and teaching, using ideas and techniques from the field of virtual reality (VR)). Such virtual geographies are currently being constructed and used at a number of sites and include virtual cities, landscape visualization, visualizing past and future geographies, visualizing abstract concepts and taking people on virtual field courses. Virtual Reality in Geography covers 'through the window' VR systems, 'fully immersive' VR systems and hybrids of the two types. The authors examine the Virtual Reality Modeling Language approach, and explore its deficiencies when applied to real geographic environments. This book will be of great interest to geographers, computer scientists and all those interested in multimedia and computer graphics. There is an accompanying CD-ROM containing a rich selection of images and pieces of virtual reality software. This is a totally unique book covering an area of geography that is rapidly becoming used in all aspects of the field. It covers all the major uses and methods of virtual reality used by geographers and the lack of anything else written about the subject to date should ensure a wide readership. The authors have produced a CDROM that comes with the book of virtual reality images that will be a fascinating companion to the text.",,,"Restricted to U of T faculty, staff, and students.","Fisher, Peter &amp; D. Unwin (ed)",,2002,,COMPUTER SCIENCE; REMOTE SENSING; VIRTUAL REALITY,,,,Taylor &amp; Francis,,Vector,,,,London &amp; New York,,Taylor &amp; Francis,None,None,,2002
282,Atlas Ilustrado de Los Pueblos de Indios Nueva Espana 1800,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106437762906196,,Tanck de Estrada,,,,,,,,,,,,,,,,,,,,
283,Les Villes Nouvelles atlas Statistique 1968-1999,"This atlas of the new cities which covers the period of 1968-1999, was produced by the regional Directorate of Island-of-France of INSEE, the Economic and Statistical Department of the direction of the Economic affairs and international of the ministry for the Equipment, and the interdepartmental Programme of History and evaluation of the French new cities (HEVN).This work presents a statistical analysis of the nine French new cities covering the period 1968-1999: Cergy-Pontoise, Evry, Marne-the-Valley, Saint-Quentin-in-Yvelines, Sénart, Isle d' Abeau, Banks of the Pond of Berre, Valley-of-Reuil and Villeneuve d' Ascq.",,,"Restricted to U of T faculty, staff, and students.",INSEE & HEVNE,,2004,FRANCE,CITIES; STATISTICS; TOWNS,,,,,,Vector,,,,Paris,,INSEE ; Villes nouvelles françaises,None,None,,1968 to 1999
